ilx_id,subClassOf,label,synonyms,xrefs,rules,notes,use_edge
ilx:AxonPhenotype,,,,,,,
ilx:DendritePhenotype,,,,,,,
ilx:SomaPhenotype,,,,,,,
ilx:CellPhenotype,,,,,,,
ilx:NeuronPhenotype,ilx:CellPhenotype,,,,,,hasPhenotype
ilx:MorphologicalPhenotype,ilx:NeuronPhenotype,,,,subClassesDisjoint,this is the 'general' morphological phenotype that might be made up of soma/axon/dendrite,hasMorphologicalPhenotype
ilx:BasketPhenotype,ilx:MorphologicalPhenotype,,,,subClassesDisjoint,,hasMorphologicalPhenotype
ilx:LargeBasketPhenotype,ilx:BasketPhenotype,,,,,,hasMorphologicalPhenotype
ilx:NestBasketPhenotype,ilx:BasketPhenotype,,,,,,hasMorphologicalPhenotype
ilx:SmallBasketPhenotype,ilx:BasketPhenotype,,,,,,hasMorphologicalPhenotype
ilx:BituftedPhenotype,ilx:MorphologicalPhenotype,,,,,,hasMorphologicalPhenotype
ilx:BipolarPhenotype,ilx:MorphologicalPhenotype,,,,,,hasMorphologicalPhenotype
ilx:ChandelierPhenotype,ilx:MorphologicalPhenotype,,,,,,hasMorphologicalPhenotype
ilx:DoubleBouquetPhenotype,ilx:MorphologicalPhenotype,,,,,,hasMorphologicalPhenotype
ilx:MartinottiPhenotype,ilx:MorphologicalPhenotype,,,,,,hasMorphologicalPhenotype
ilx:NeurogliaformPhenotype,ilx:MorphologicalPhenotype,,,,,,hasMorphologicalPhenotype
ilx:PyramidalPhenotype,ilx:MorphologicalPhenotype,,,,,,hasMorphologicalPhenotype
ilx:AxonMorphologicalPhenotype,ilx:AxonPhenotype,,,,subClassesDisjoint,,
ilx:DendriteMorphologicalPhenotype,ilx:DendritePhenotype,,,,subClassesDisjoint,,
ilx:SomaMorphologicalPhenotype,ilx:SomaPhenotype,,,,subClassesDisjoint,,
ilx:ElectrophysiologicalPhenotype,ilx:NeuronPhenotype,,,,,,hasElectrophysiologicalPhenotype
ilx:SpikingPhenotype,ilx:ElectrophysiologicalPhenotype,,,,,,hasElectrophysiologicalPhenotype
ilx:PetillaInitialSpikingPhenotype,ilx:SpikingPhenotype,,,,subClassesDisjoint,,hasElectrophysiologicalPhenotype
ilx:PetillaInitialBurstSpikingPhenotype,ilx:PetillaInitialSpikingPhenotype,,petilla b,,,,hasElectrophysiologicalPhenotype
ilx:PetillaInitialClassicalSpikingPhenotype,ilx:PetillaInitialSpikingPhenotype,,petilla c,,,,hasElectrophysiologicalPhenotype
ilx:PetillaInitialDelayedSpikingPhenotype,ilx:PetillaInitialSpikingPhenotype,,petilla d,,,,hasElectrophysiologicalPhenotype
ilx:PetillaSustainedSpikingPhenotype,ilx:SpikingPhenotype,,,,subClassesDisjoint,,hasElectrophysiologicalPhenotype
ilx:PetillaSustainedAccomodatingPhenotype,ilx:PetillaSustainedSpikingPhenotype,,petilla ac,,,how do we deal with the fact that there are other accomodating phenotypes… multiple parent is annoying,hasElectrophysiologicalPhenotype
ilx:PetillaSustainedNonAccomodatingPhenotype,ilx:PetillaSustainedSpikingPhenotype,,petilla nac,,,,hasElectrophysiologicalPhenotype
ilx:PetillaSustainedStutteringPhenotype,ilx:PetillaSustainedSpikingPhenotype,,petilla stut,,,,hasElectrophysiologicalPhenotype
ilx:PetillaSustainedIrregularPhenotype,ilx:PetillaSustainedSpikingPhenotype,,petilla ir,,,,hasElectrophysiologicalPhenotype
ilx:FastSpikingPhenotype,ilx:SpikingPhenotype,,,,disjointWith ilx:RegularSpikingNonPyramidalPhenotype,,hasElectrophysiologicalPhenotype
ilx:RegularSpikingNonPyramidalPhenotype,ilx:SpikingPhenotype,,,,,,hasElectrophysiologicalPhenotype
ilx:AccomodatingSpikingPhenotype,ilx:SpikingPhenotype,,,,disjointWith ilx:NonAccomodatingSpikingPhenotype,,hasElectrophysiologicalPhenotype
ilx:NonAccomodatingSpikingPhenotype,ilx:SpikingPhenotype,,,,,,hasElectrophysiologicalPhenotype
