label,cleaned,adjusted,Comments,Synonym,NeuroElectro,BAMS,Neurolex,Hippocampome,BBP Cell,NeuroMorpho,Autogenerated,Added
Abducens nucleus intrinsic interneuron,,,,,,,,,,,x,
Abducens nucleus internuclear neuron,,,,,,,,,,,,x
Abducens nucleus motor neuron,,,,,x,,x,,,,,
Abducens nucleus projection neuron,,,,,,,,,,,x,
Accumbens nucleus core nucleus neuron,,,,,x,,x,,,,,
Accumbens nucleus medium spiny neuron,,,,,x,,,,,,,
Accumbens nucleus shell neuron,,,,,x,,x,,,,,
Ambiguous nucleus intrinsic neuron,,,,,,,,,,,,
Ambiguous nucleus projection neuron,,,,,,,,,,,,
Ambiguous nucleus parasympathetic cardiac neuron,,,,,,,,,,,,x
Amygdala basolateral nuclear complex pyramidal neuron,,,,Amygdala basolateral nucleus pyramidal neuron,x,,x,,,,,
Amygdala corticomedial nucleus pyramidal cell,,,,,x,,,,,,,
Amygdala lateral central nucleus medium spiny neuron,,,,,,,x,,,,,
Amygdala lateral projection neuron,,,,,x,,,,,,,
Amygdaloid nucleus paracapsular intercalated cell,,,,,x,,,,,,,
Arcuate nucleus medulla projection neuron,,,,,,,,,,,,
Arcuate nucleus medulla intrinsic neuron,,,,,,,,,,,,
Area postrema intrinsic neuron,,,,,,,,,,,,
Area postrema projection neuron,,,,,,,x,,,,,
Basal forebrain cholinergic neuron,,,,,,,,,,,,
Basal forebrain GABAergic neuron,,,,,,,,,,,,x
Basolateral amygdalar complex intrinsic interneuron,,,,,,,,,,,x,
Basolateral amygdalar complex projection neuron,,,,,,,,,,,x,
Bed nuclei of terminal stria intrinsic interneuron,,,,,,,,,,,x,
Bed nuclei of terminal stria projection neuron,,,,,,,,,,,x,
Bed nucleus of the stria terminalis (ALG),,,,,x,,,,,,,
Bed nucleus of the stria terminalis beaded neuron,,,,,x,,,,,,,
Bed nucleus of the stria terminalis common spiny neuron,,,,,x,,x,,,,,
Bed nucleus of the stria terminalis small pyramidal neuron,,,,,x,,x,,,,,
Central amygdalar nucleus intrinsic interneuron,,,,,,,,,,,x,
Central amygdalar nucleus projection neuron,,,,,,,,,,,x,
Cerebellar nuclei intrinsic interneuron,,,,,,,,,,,x,
Cerebellar nuclei projection neuron,,,,,,,,,,,x,
Cerebellum basket cell,,,,,,,x,,,,,
Cerebellum candelabrum cell,Cerebellum candelabrum cell,,Had 3 papers but borderline,,,x,x,,,,,
