edge,neurolex names,existing equiv,definition,label,notes,subPropertyOf,inverse,types,displayLabel,displayDefinition
hasPhenotype,,,,,,,phenotypeOf,,Observed phenotype,The particular observable characteristics or phenotypes of a cell type.
phenotypeOf,,,,,"of course this can never be universal, so is mostly useful for the python representation",,,,Phenotype of,Links a phenotype back to the cell type or entity it characterizes.
hasPhenotypeModifier,,,"Expresses a restriction that modifies all phenotypes associated with a neuron type or a logical phenotype, only meaningful when used inside of owl:intersectionOf",,,,,"asymmetric, irreflexive",Phenotype modifier,Specifies a condition or context that modifies how a phenotype is expressed.
#intrinsic phenotypes,,,,,,,,,,
,,,,,,,,,,
hasClassificationPhenotype,,,Expresses a relationship between a neuron type and an opaque symbol that is used by experts to distinguish subtypes.,,Use this when numbers or letters have been assigned to disambiguate naming.,hasPhenotype,,"asymmetric, irreflexive",Used for classification ,A phenotype used to classify or categorize a cell type within an arbitrary taxonomy.
hasComputedPhenotype,,,Expresses a relationship between a neuron type and a type computed from some combination of primary data types.,,,hasPhenotype,,"asymmetric, irreflexive",Computed phenotype,A phenotype computer from data rather than directly observed.
,,,,,,,,,,
#hasIntrinsicPhenotype,,,,,,hasPhenotype,,"asymmetric, irreflexive",,
hasMolecularPhenotype,"MolecularConstituents, Neurotransmitter/NeurotransmitterReceptors",,"Expresses a relationship between a neuron type and a molecule type, a gene type, or a gene product type.",,This can be used for detection of the molecule or gene by any means.,hasPhenotype,,"asymmetric, irreflexive",Molecular phenotype,Molecular-level characteristics such as gene or protein expression.
hasSmallMoleculePhenotype,,,Expresses a relationship between a neuron and a small molecule that is the product of some molecular pathway that may or may not be expressed in the neuron in question.,,This would probably be used to indicate the detection of the machinery for the synthesis pathway. If just the molecule is detected then hasMolecularPhenotype should be used since expression cannot be inferred (for neurotransmitters).,hasMolecularPhenotype,,"asymmetric, irreflexive",Small molecule phenotype,"Small molecules present in the cell type (e.g., neurotransmitters, metabolites)."
hasProteinExpressionPhenotype,,,,,,hasExpressionPhenotype,,"asymmetric, irreflexive",Protein expression,Proteins expressed in the cell type.
hasNucleicAcidExpressionPhenotype,,,,,This should be used for detection of RNAs that code for proteins which may or may not have been detected directly.,hasExpressionPhenotype,,"asymmetric, irreflexive",Marker genes,DNA or RNA expression patterns in the cell type.
hasReporterExpressionPhenotype,,,,,,hasExpressionPhenotype,,"asymmetric, irreflexive",Reporter expression,"Genetic reporter line (e.g., fluorescent marker)."
hasDriverExpressionPhenotype,,,,,,hasExpressionPhenotype,,"asymmetric, irreflexive",Driver expression,
hasDriverExpressionConstitutivePhenotype,,,,,,hasDriverExpressionPhenotype,,"asymmetric, irreflexive",Constitutive driver expression,Genetic driver that is always expressed if its promoter is active (not inducible).
hasDriverExpressionInducedPhenotype,,,,,Use for things like cre-ER,hasDriverExpressionPhenotype,,"asymmetric, irreflexive",Induced driver expression,Genetic driver that must be induced to drive expression.
hasExpressionPhenotype,"MolecularConstituents, Neurotransmitter/NeurotransmitterReceptors",,Expresses a relationship between a neuron type and a gene type including any gene products.,,"This may also include the products of molecular synthesis pathways that are indirectly supported by genes, however it seems likely that that relationship should not be though of as an expression phenotype.",hasMolecularPhenotype,,"asymmetric, irreflexive",Expresses,General phenotype based on gene or molecule expression levels.
hasNeurotransmitterPhenotype,Neurotransmitter,,Expresses a relationship between a neuron type and a neurotransmitter that is released from vesicles contained within neurons of that neuron type.,,"includes small molecule and peptide, not entirely sure if we need this one, we do because expression and release are not 1:1",hasMolecularPhenotype,,"asymmetric, irreflexive",Neurotransmitters,Neurotransmitters the cell type produces or releases.
hasComputedMolecularPhenotype,,,Expresses a relationship between a neuron type and a type computed from only molecular data.,,,"hasComputedPhenotype,hasMolecularPhenotype",,"asymmetric, irreflexive",Computed molecular phenotype,Molecular phenotype inferred computationally from experimental data.
hasComputedMolecularPhenotypeFromDNA,,,Expresses a relationship between a neuron type and a type computed from only DNA data (e.g. epigenetics data).,,,hasComputedMolecularPhenotype,,"asymmetric, irreflexive",Computed from DNA,"Molecular phenotype computed from DNA-level data (e.g., genomics)."
