Brainstem    UBERON:0002298,,,Spinal Cord    UBERON:0002240,,,,,,,,,,,,,,,,,Cranial Nerves    UBERON:0001785,Nerves (Also Includes Cranial),Nerve Roots Of Spinal Cord Segments,UBERON,Nieuwenhuys,Atlas Nomenclature,,,Peripheral Nervous System    UBERON:0000010
Midbrain    UBERON:0001891,Pons    UBERON:0000988,Medulla Oblongata    UBERON:0001896,Gross Anatomy,General Spinal Cord Anatomy,Internal Anatomy,Dorsal Root Gangla Of Spinal Segments,,,,Segment Anatomy,,,,,,,,,,Abducens Nerve    UBERON:0001646,Abdomen Nerve    UBERON:0003429,Ventral Nerve Root Of Cervical Spinal Cord    UBERON:0014634,Retrorubral Area Of Midbrain Reticular Nucleus    UBERON:0011172,Zonal allocation    Primary sensory and Primary Motor Nuclei    higher order centers,Allen Mouse Brainstem,Paxinos Rat Brainstem,Berman Cat Brainstem,Ganglia    UBERON:0000045
Retrorubral Area Of Midbrain Reticular Nucleus    UBERON:0011172,Root Of Abducens Nerve    UBERON:0002786,Inferior Olivary Complex    UBERON:0002127,Ampulla Caudalis    UBERON:0011360,C1 Segment Of Cervical Spinal Cord    UBERON:0006469,Accessory Nerve Fiber Bundle    UBERON:0006117,Cervical Dorsal Root Gangla,Thoracic Dorsal Root Ganglia    UBERON:0002835,Lumbar Dorsal Root Ganglia    UBERON:0002836,Sacral Dorsal Root Ganglia    UBERON:0002837,Lamina Of Spinal Cord,Spinal Cord Internal Structures Per Segment,,,,Spinal Cord Segments    UBERON:0005844,Spinal Cord Subsegments,,,,Accessory Nerve,Abducens Nerve    UBERON:0001646,Dorsal Nerve Root Of Cervical Spinal Cord    UBERON:0014635,Cerebral Peduncle    UBERON:0002623,"mes    III, nucleus nervi oculomotorii    rubm, nucleus ruber, pars magnocellularis",Abducens Nucleus (Mba)    MBA:653,10th cerebellar lobule (nodule) (paxrat)    PAXRAT:23,Abducens Nerve (Bercat)    BERCAT:1,Auditory Ganglion
Cerebral Peduncle    UBERON:0002623,Basal Part Of Pons    UBERON:0002567,Medullary Raphe Nuclear Complex    UBERON:0002692,Central Canal Of Spinal Cord    UBERON:0002291,C4 Segment Of Cervical Spinal Cord    UBERON:0006490,Accessory Nucleus    NLX:39810,Cervical Dorsal Root Gangla,Thoracic Dorsal Root Ganglia    UBERON:0002835,Lumbar Dorsal Root Ganglia    UBERON:0002836,Sacral Dorsal Root Ganglia    UBERON:0002837,Lamina Of Spinal Cord,Segment Part Of Cervical Spinal Cord    UBERON:0007714,Thoracic Segment Of Spinal Cord    UBERON:6000016,Segment Part Of Lumbar Spinal Cord    UBERON:0007716,Segment Part Of Sacral Spinal Cord    UBERON:0007717,Cervical Spinal Cord    UBERON:0002726,Cervical Spinal Cord    UBERON:0002726,Thoracic Spinal Cord    UBERON:0003038,Lumbar Spinal Cord    UBERON:0002792,Sacral Spinal Cord    UBERON:0005843,Facial Nerve    UBERON:0001647,Accessory Xi Nerve Cranial Component    UBERON:0009673,Ventral Nerve Root Of Thoracic Spinal Cord    UBERON:0014617,Oculomotor Nerve Root    UBERON:0002668,"EW, nucleus of Edinger–Westphal    sc, superior colliculus",Accessory Abducens Nucleus (Mba)    MBA:568,1st cerebellar lobule (lingula) (paxrat)    PAXRAT:1,Abducens Nucleus (Bercat)    BERCAT:2,Cervical Dorsal Root Ganglion    UBERON:0002834
Oculomotor Nerve Root    UBERON:0002668,Middle Cerebellar Peduncle    UBERON:0002152,Accessory Nerve Root    UBERON:0014615,Fasciculus Of Spinal Cord    UBERON:0005837,C7 Segment Of Cervical Spinal Cord    UBERON:0006493,Ampulla Caudalis    UBERON:0011360,First Cervical Dorsal Root Ganglion    UBERON:0002838,First Thoracic Dorsal Root Ganglion    UBERON:0002845,First Lumbar Dorsal Root Ganglion    UBERON:0002857,First Sacral Dorsal Root Ganglion    UBERON:0002860,Lamina I Of Gray Matter Of Spinal Cord    UBERON:0006118,Segment Part Of Cervical Spinal Cord    UBERON:0007714,Thoracic Segment Of Spinal Cord    UBERON:6000016,Segment Part Of Lumbar Spinal Cord    UBERON:0007716,Segment Part Of Sacral Spinal Cord    UBERON:0007717,Thoracic Spinal Cord    UBERON:0003038,Cervical Spinal Cord    UBERON:0002726,Thoracic Spinal Cord    UBERON:0003038,Lumbar Spinal Cord    UBERON:0002792,Sacral Spinal Cord    UBERON:0005843,Glossopharyngeal Nerve    UBERON:0001649,Accessory Xi Nerve Spinal Component    UBERON:0009674,Dorsal Nerve Root Of Thoracic Spinal Cord    UBERON:0014616,Midbrain Tegmentum    UBERON:0001943,"Vpr, nucleus sensorius principalis nervi trigemini    ic, inferior colliculus",Accessory Facial Motor Nucleus (Mba)    MBA:576,2b cerebellar lobule (paxrat)    PAXRAT:2,Accessory Dorsal Tegmental Nucleus (Bercat)    BERCAT:3,Ciliary Ganglion    UBERON:0002058
Midbrain Tegmentum    UBERON:0001943,Longitudinal Pontine Fibers    UBERON:0002732,Nucleus Of Solitary Tract    UBERON:0009050,Filum Terminale Externum    UBERON:0010270,C8 Segment Of Cervical Spinal Cord    UBERON:0006470,Apex Of Lumbar Spinal Cord Dorsal Horn    UBERON:0014632,Second Cervical Dorsal Root Ganglion    UBERON:0002839,Second Thoracic Dorsal Root Ganglion    UBERON:0002846,Second Lumbar Dorsal Root Ganglion    UBERON:0002856,Second Sacral Dorsal Root Ganglion    UBERON:0002861,Substantia Gelatinosa    UBERON:0002181,Cervical Spinal Cord Dorsal Horn    UBERON:0014620,Thoracic Spinal Cord Dorsal Column    UBERON:0005839,Lumbar Spinal Cord Dorsal Horn    UBERON:0014638,Sacral Spinal Cord Gray Matter    UBERON:0029503,Lumbar Spinal Cord    UBERON:0002792,C1 Segment Of Cervical Spinal Cord    UBERON:0006469,First Thoracic Spinal Cord Segment    UBERON:0006457,First Lumbar Spinal Cord Segment    UBERON:0006448,First Sacral Spinal Cord Segment    UBERON:0006460,Hypoglossal Nerve    UBERON:0001650,Accessory Xi Nerve    UBERON:0002019,Ventral Nerve Root Of Lumbar Spinal Cord    UBERON:0024382,Dorsal Tegmental Decussation    UBERON:0003009,"ist    IV, nucleus nervi trochlearis    is, nucleus isthmi",Accessory Olfactory Bulb (Mba)    MBA:151,2nd and 3rd cerebellar lobules (paxrat)    PAXRAT:3,Accessory Optic Tract (Bercat)    BERCAT:4,Cranial Ganglion Part Of Peripheral Nervous System
Dorsal Tegmental Decussation    UBERON:0003009,Transverse Pontine Fibers    UBERON:0002735,Hypoglossal Nerve Root    UBERON:0004675,Filum Terminale Internum    UBERON:0010269,Accessory Nerve Fiber Bundle    UBERON:0006117,Apex Of Thoracic Spinal Cord Dorsal Horn    UBERON:0014611,Third Cervical Dorsal Root Ganglion    UBERON:0002840,Third Thoracic Dorsal Root Ganglion    UBERON:0002847,Third Lumbar Dorsal Root Ganglion    UBERON:0002858,Third Sacral Dorsal Root Ganglion    UBERON:0002862,Lamina Iii Of Gray Matter Of Spinal Cord    UBERON:0016574,Cervical Spinal Cord Dorsal Column    UBERON:0005841,Thoracic Spinal Cord Dorsal Horn    UBERON:0014609,Lumbar Spinal Cord Dorsal Column    UBERON:0005842,Sacral Spinal Cord Lateral Column    UBERON:0005848,Sacral Spinal Cord    UBERON:0005843,C2 Segment Of Cervical Spinal Cord    UBERON:0006489,Second Thoracic Spinal Cord Segment    UBERON:0006458,Second Lumbar Spinal Cord Segment    UBERON:0006450,Second Sacral Spinal Cord Segment    UBERON:0006461,Oculomotor Nerve    UBERON:0001643,Ampullary Nerve    UBERON:2005144,Ventral Nerve Root Of Sacral Spinal Cord    UBERON:0023623,Lateral Pes Lemniscus    UBERON:0003010,"r1    ip, nucleus interpeduncularis    pbn, parabrachial nuclei","Accessory Olfactory Bulb, Glomerular Layer (Mba)    MBA:188",2nd cerebellar lobule (paxrat)    PAXRAT:4,"Alaminar Spinal Trigeminal Nucleus, Magnocellular Division (Bercat)    BERCAT:5",Dorsal Root Ganglion    UBERON:0000044
Lateral Pes Lemniscus    UBERON:0003010,Pontine Nuclear Group    UBERON:0002151,Vestibular Nuclear Complex    UBERON:0002673,Filum Terminale    UBERON:0005443,Apex Of Lumbar Spinal Cord Dorsal Horn    UBERON:0014632,Caudal Segment Of Spinal Cord    UBERON:0005845,Fourth Cervical Dorsal Root Ganglion    UBERON:0002841,Fourth Thoracic Dorsal Root Ganglion,Fourth Lumbar Dorsal Root Ganglion    UBERON:0003943,Fourth Sacral Dorsal Root Ganglion,Lamina Iv Of Gray Matter Of Spinal Cord    UBERON:0016575,Cervical Spinal Cord Gray Commissure    UBERON:0029626,Thoracic Spinal Cord Gray Commissure    UBERON:0026293,Lumbar Spinal Cord Gray Commissure    UBERON:0033483,Sacral Spinal Cord Lateral Horn    UBERON:0029538,Cocygeal,C3 Segment Of Cervical Spinal Cord    UBERON:0006488,Third Thoracic Spinal Cord Segment    UBERON:0006459,Third Lumbar Spinal Cord Segment    UBERON:0006449,Third Sacral Spinal Cord Segment    UBERON:0006462,Olfactory Nerve    UBERON:0001579,Ankle Nerve    UBERON:0003446,,Linear Nucleus    UBERON:0002557,"Vpr, nucleus sensorius principalis nervi trigemini    null, nucleus lemnisci lateralis","Accessory Olfactory Bulb, Granular Layer (Mba)    MBA:196",3rd and 4th cerebellar lobules (paxrat)    PAXRAT:5,"Alaminar Spinal Trigeminal Nucleus, Parvocellular Division (Bercat)    BERCAT:6",Eighth Cervical Dorsal Root Ganglion    UBERON:0002844
Linear Nucleus    UBERON:0002557,Vestibulocochlear Nerve Root    UBERON:0002731,Medullary Reticular Formation    UBERON:0002559,Funiculus Of Spinal Cord    UBERON:0006127,Apex Of Spinal Cord Dorsal Horn    UBERON:0004678,Central Canal Of Spinal Cord    UBERON:0002291,Fifth Cervical Dorsal Root Ganglion    UBERON:0002842,Fifth Thoracic Dorsal Root Ganglion    UBERON:0002848,,Fifth Sacral Dorsal Root Ganglion    UBERON:0002863,Lamina V Of Gray Matter Of Spinal Cord    UBERON:0016576,Cervical Spinal Cord Lateral Column    UBERON:0005849,Thoracic Spinal Cord Lateral Column    UBERON:0005847,Lumbar Spinal Cord Lateral Column    UBERON:0005850,Sacral Spinal Cord Dorsal Horn    UBERON:0033939,Onuf'S Nucleus,C4 Segment Of Cervical Spinal Cord    UBERON:0006490,Fourth Thoracic Spinal Cord Segment    UBERON:0006452,Fourth Lumbar Spinal Cord Segment    UBERON:0006451,Fourth Sacral Spinal Cord Segment    UBERON:0006463,Terminal Nerve    UBERON:0002924,Ansa Cervicalis    UBERON:0005430,,Dorsal Longitudinal Fasciculus Of Midbrain    UBERON:0003005,"vesn, vestibular nuclei    nucb, nucleus cerebelli","Accessory Olfactory Bulb, Mitral Layer (Mba)    MBA:204",3rd cerebellar lobule (paxrat)    PAXRAT:6,Ammon'S Formation (Bercat)    BERCAT:7,Eighth Thoracic Dorsal Root Ganglion    UBERON:0002851
Dorsal Longitudinal Fasciculus Of Midbrain    UBERON:0003005,Pontine Tegmentum    UBERON:0003023,Root Of Vagus Nerve    UBERON:0011213,Gracile Fasciculus Of Spinal Cord    UBERON:0005826,Apex Of Thoracic Spinal Cord Dorsal Horn    UBERON:0014611,Clarke'S Nucleus    UBERON:0002246,Sixth Cervical Dorsal Root Ganglion    UBERON:0007711,Sixth Thoracic Dorsal Root Ganglion    UBERON:0002849,,,Lamina Viii Of Gray Matter Of Spinal Cord    UBERON:0016579,Cervical Spinal Cord Lateral Horn    UBERON:0014619,Thoracic Spinal Cord Lateral Horn    UBERON:0014607,Lumbar Spinal Cord Lateral Horn    UBERON:0031906,Sacral Spinal Cord Dorsal Column    UBERON:0005840,,C5 Segment Of Cervical Spinal Cord    UBERON:0006491,Fifth Thoracic Spinal Cord Segment    UBERON:0006453,,Fifth Sacral Spinal Cord Segment    UBERON:0006464,Trigeminal Nerve    UBERON:0001645,Anterior Lateral Line Nerve    UBERON:2000425,,Nucleus Of Posterior Commissure    UBERON:0002711,"r2    Vpr, nucleus sensorius principalis nervi trigemini    null, nucleus lemnisci lateralis",Accessory Supraoptic Group (Mba)    MBA:332,3rd ventricle (paxrat)    PAXRAT:7,Anterior Pretectal Nucleus (Bercat)    BERCAT:8,Eleventh Thoracic Dorsal Root Ganglion    UBERON:0002854
