Brainstem    UBERON:0002298
    Midbrain    UBERON:0001891
        Retrorubral Area Of Midbrain Reticular Nucleus    UBERON:0011172
        Cerebral Peduncle    UBERON:0002623
        Oculomotor Nerve Root    UBERON:0002668
        Midbrain Tegmentum    UBERON:0001943
        Dorsal Tegmental Decussation    UBERON:0003009
        Lateral Pes Lemniscus    UBERON:0003010
        Linear Nucleus    UBERON:0002557
        Dorsal Longitudinal Fasciculus Of Midbrain    UBERON:0003005
        Nucleus Of Posterior Commissure    UBERON:0002711
        Rostral Interstitial Nucleus Of Medial Longitudinal Fasciculus    UBERON:0002717
        Oculomotor Nuclear Complex    UBERON:0001715
        Dorsal Oculomotor Nucleus    UBERON:0002964
        Central Oculomotor Nucleus    UBERON:0002960
        Medial Oculomotor Nucleus    UBERON:0002975
        Parvocellular Oculomotor Nucleus    UBERON:0002141
        Ventral Oculomotor Nucleus    UBERON:0002934
        Caudal Central Oculomotor Nucleus    UBERON:0002957
        Anterior Median Oculomotor Nucleus    UBERON:0002701
        Intermediate Oculomotor Nucleus    UBERON:0002970
        Dentatothalamic Tract    UBERON:0002594
        Interstitial Nucleus Of Cajal    UBERON:0002551
        Midbrain Reticular Formation    UBERON:0002639
        Pedunculopontine Tegmental Nucleus    UBERON:0002142
        Subcuneiform Nucleus    UBERON:0002700
        Cuneiform Nucleus    UBERON:0002696
        Central Tegmental Tract Of Midbrain    UBERON:0002585
        Midbrain Raphe Nuclei    UBERON:0007412
        Pallidotegmental Fasciculus    UBERON:0002671
        Dorsal Tegmental Nucleus    UBERON:0002143
        Red Nucleus    UBERON:0001947
        Parvocellular Part Of Red Nucleus    UBERON:0002938
        Magnocellular Part Of Red Nucleus    UBERON:0002936
        Central Gray Substance Of Midbrain    UBERON:0003040
        Root Of Trochlear Nerve    UBERON:0002618
        Mesencephalic Nucleus Of Trigeminal Nerve    UBERON:0001718
        Peripeduncular Nucleus    UBERON:0002144
        Spinothalamic Tract Of Midbrain    UBERON:0002609
        Decussation Of Superior Cerebellar Peduncle    UBERON:0002588
        Medial Lemniscus Of Midbrain    UBERON:0002658
        Habenulo-Interpeduncular Tract Of Midbrain    UBERON:0023740
        Dorsal Raphe Nucleus    UBERON:0002043
        Ventral Nucleus Of Posterior Commissure    UBERON:0002044
        Ventral Tegmental Area    UBERON:0002691
        Ventral Tegmental Decussation    UBERON:0002615
