Parcellation Index,Area Name,Area Description,Newly Described,Results Sections,Other Names,Key Studies
1,V1,Primary Visual Cortex,No,"1,2","17, hOC1, OC, BA17","Amunts et al 2000, Fischl et al 2008, Abdollahi et al 2014"
2,MST,Medial Superior Temporal Area,No,"5,15","MSTv, hOC5, hOC5v","Abdollahi et al 2014, Kolster et al 2010, Malikovic et al 2007, Fischl et al 2008"
3,V6,Sixth Visual Area,No,"2,3,18",112,"Pitzalis et al 2006, Pitzalis et al 2013, Sereno et al 2012, Nieuwenhuys et al 2014"
4,V2,Second Visual Area,No,"1,2","18, hOC2, OB, BA18","Amunts et al 2000, Fischl et al 2008, Schira et al 2009, Abdollahi et al 2014, Wang et al 2015, Wandell and Winawer 2011"
5,V3,Third Visual Area,No,2,"V3d, V3v, VP, hOC3d, hOC3v","Abdollahi et al 2014, Rottschy et al 2007, Schira et al 2009, Kujovic et al 2012, Wang et al 2015, Wandell and Winawer 2011"
6,V4,Fourth Visual Area,No,"2,3,4,5","V4d, V4v, hV4, hOC4v, hOC4lp, LO1","Hansen et al 2007, Abdollahi et al 2014, Rottschy et al 2007, Malikovic et al 2015"
7,V8,Eighth Visual Area,No,"2,4,5",VO1,"Hadjikhani et al 1998, Abdollahi et al 2014"
8,4,Primary Motor Cortex,No,"6,7,8,9","BA4, 4a, 4p, M1, PMC, F1","Fischl et al 2008, Geyer et al 1996"
9,3b,Primary Sensory Cortex,No,"6,7,9","S1, 3","Fischl et al 2008, Geyer et al 1999, Geyer et al 2000"
10,FEF,Frontal Eye Fields,No,"6,8,22",,"Glasser and Van Essen 2011, Amiez and Petrides 2009"
11,PEF,Premotor Eye Field,No,"6,8,21,22",6v2,"Amiez and Petrides 2009, Amunts et al 2010"
12,55b,Area 55b,No,"6,8,22",,Hopf 1956
13,V3A,Area V3A,No,"2,3","V3D, hOC4d","Abdollahi et al 2014, Swisher et al 2007, Kujovic et al 2012, Wandell and Winawer 2011, Larsson and Heeger 2006, Tootell et al 1997"
14,RSC,RetroSplenial Complex,No,"13,18","29,30","Glasser and Van Essen 2011, Vogt 2009, Palomero-Gallagher et al 2009"
15,POS2,Parieto-Occipital Sulcus Area 2,Yes*,"16,18",,Glasser and Van Essen 2011
16,V7,Seventh Visual Area,No,3,IPS0,"Abdollahi et al 2014, Swisher et al 2007, Larsson and Heeger 2006, Tootell et al 1998, Hagler et al 2007, Wang et al 2015"
17,IPS1,IntraParietal Sulcus Area 1,No,"3,16,17",,"Swisher et al 2007, Wang et al 2015, Hagler et al 2007"
18,FFC,Fusiform Face Complex,No,"4,5,14","FFA, FG2","Glasser and Van Essen 2011, Kanwisher and Yovel 2006, Caspers et al 2013, Weiner et al 2014"
19,V3B,Area V3B,No,"3,5,17",V3C,"Abdollahi et al 2014, Larsson and Heeger 2006, Swisher et al 2007, Wandell and Winawer 2011, Smith et al 1998"
20,LO1,Area Lateral Occipital 1,No,"2,5","LO2, hOC4la","Abdollahi et al 2014, Hansen et al 2007, Malikovic et al 2015, Larsson and Heeger 2006"
21,LO2,Area Lateral Occipital 2,No,"2,4,5","LO1, hOC4la","Abdollahi et al 2014, Hansen et al 2007, Malikovic et al 2015, Larsson and Heeger 2006"
22,PIT,Posterior InferoTemporal Complex,No,"2,4,5","phPITv, phPITd, OFA, hOC4la","Abdollahi et al 2014, Kolster et al 2010, Malikovic et al 2015, Kanwisher and Yovel 2006, Tsao et al 2008"
23,MT,Middle Temporal Area,No,"5,15","hOC5, hOC5d","Abdollahi et al 2014, Kolster et al 2010, Malikovic et al 2007, Fischl et al 2008"
24,A1,Primary Auditory Cortex,No,10,"Core, R1, TC, TE1.0, TE1.1, 41","Glasser and Van Essen 2011, Moerel et al 2014, von Economo and Koskinas 1925, Triarhou 2007, Morosan et al 2001"
25,PSL,PeriSylvian Language Area,Yes,"9,10,11,15,17",,
26,SFL,Superior Frontal Language Area,Yes,"7,19,22",,
27,PCV,PreCuneus Visual Area,No,"7,16,18",PrCu,Sereno et al 2012
28,STV,Superior Temporal Visual Area,Yes,"11,15,17",,
29,7Pm,Medial Area 7P,Yes,"16,18",7P,"Scheperjans et al 2008a, Scheperjans et al 2008b"
30,7m,Area 7m,No,"16,18",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
31,POS1,Parieto-Occipital Sulcus Area 1,Yes*,18,Retrosplenial Cortex,Glasser and Van Essen 2011
32,23d,Area 23d,No,"18,19",,"Vogt 2009, Palomero-Gallagher et al 2009"
33,v23ab,Area ventral 23 a+b,No,18,"23a, 23b, v23","Vogt 2009, Palomero-Gallagher et al 2009"
34,d23ab,Area dorsal 23 a+b,No,18,"23a, 23b, d23","Vogt 2009, Palomero-Gallagher et al 2009"
35,31pv,Area 31p ventral,Yes*,18,"31, 31d, 31v","Vogt 2009, Palomero-Gallagher et al 2009"
36,5m,Area 5m,No,"6,7",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
37,5mv,Area 5m ventral,Yes*,"7,16,18",5ci,"Scheperjans et al 2008a, Scheperjans et al 2008b"
38,23c,Area 23c,No,"7,18,19",,"Vogt 2009, Palomero-Gallagher et al 2009"
39,5L,Area 5L,No,"6,7,16",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
40,24dd,Dorsal Area 24d,No,"6,7,18",24d,"Palomero-Gallagher et al 2009, Vogt and Vogt 2003"
41,24dv,Ventral Area 24d,No,"7,19",24d,"Palomero-Gallagher et al 2009, Vogt and Vogt 2003"
42,7AL,Lateral Area 7A,Yes*,"6,7,16",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
43,SCEF,Supplementary and Cingulate Eye Field,Yes*,"7,19,22","SEF, CEF, 6, SMA, SMAr",Amiez and Petrides 2009
44,6ma, Area 6m anterior,Yes*,"7,8,22","SMAr, 6, SMA","Fischl et al 2008, Vorobiev et al 1998, Geyer 2004"
45,7Am,Medial Area 7A,Yes*,"7,16,18",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
46,7Pl,Lateral Area 7P,Yes*,"16,18",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
47,7PC,Area 7PC,No,"6,16",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
48,LIPv, Area Lateral IntraParietal ventral  ,Yes*,16,hIP3,"Van Essen et al 2012a, Scheperjans et al 2008a, Scheperjans et al 2008b"
49,VIP,Ventral IntraParietal Complex,Yes*,16,,Van Essen et al 2012a
50,MIP,Medial IntraParietal Area,Yes*,"3,16,17",,Van Essen et al 2012a
